Campaign Name,Objective,Day,Age,Gender,Delivery Level,Reach,Impressions,Frequency,Result Type,Results,Results [On Ad],Results [28 Days After Clicking],Cost per Result,Cost per Result [On Ad],Cost per Result [28 Days After Clicking],Amount Spent (USD),"CPM (Cost per 1,000 Impressions)",Link Clicks,Link Clicks [On Ad],CPC (Cost per Link Click),CPC (Cost per Link Click) [On Ad],CTR (Link Click-Through Rate),Clicks (All),CPC (All),CTR (All),Purchases Conversion Value,Purchases Conversion Value [28 Days After Clicking],Cost per Purchase,Cost per Purchase [28 Days After Clicking],Purchases,Purchases [28 Days After Clicking],Purchase ROAS (Return on Ad Spend),Purchase ROAS (Return on Ad Spend) [28 Days After Clicking]
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-21,35-44,female,campaign,130,130,1,Page Likes,5,5,,1.22,1.22,,6.12,47.08,,,,,,5,1.22,3.85,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-21,18-24,female,campaign,104,104,1,Page Likes,2,2,,1.42,1.42,,2.84,27.31,,,,,,1,2.84,0.96,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-21,55-64,female,campaign,11,11,1,Page Likes,5,4,1,0.08,0.11,0.42,0.42,38.18,,,,,,4,0.11,36.36,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-21,45-54,female,campaign,129,130,1.01,Page Likes,10,10,,0.5,0.5,,5.02,38.62,,,,,,11,0.46,8.46,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-21,25-34,female,campaign,153,154,1.01,Page Likes,5,5,,1.29,1.29,,6.43,41.75,,,,,,5,1.29,3.25,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-20,25-34,female,campaign,1510,1605,1.06,Page likes,76,74,2,0.91,0.93,34.49,68.97,42.97,,,,,,83,0.83,5.17,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-20,55-64,female,campaign,160,182,1.14,Page likes,7,6,1,1.48,1.73,10.35,10.35,56.87,,,,,,7,1.48,3.85,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-20,45-54,female,campaign,1856,1971,1.06,Page likes,94,91,3,1.04,1.07,32.55,97.64,49.54,,,,,,103,0.95,5.23,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-20,35-44,female,campaign,1654,1842,1.11,Page likes,84,80,4,1,1.05,20.92,83.67,45.42,,,,,,89,0.94,4.83,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-20,18-24,female,campaign,884,1071,1.21,Page likes,48,47,1,0.75,0.77,36.2,36.20,33.8,,,,,,54,0.67,5.04,,,,,,,,
