DIVISION,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,AGE,UNIT_TYPE,FUEL_PRODUCT,LAST_FUEL_DATE,LAST_WORKORDER_OPEN_DATE,M5_LIFE_KM_USAGE(KM),M5_LIFE_HRS_USAGE(Hrs),M5_YTD_KM_USAGE(KM),M5_YTD_HRS_USAGE(Hrs),CATEGORY_CLASS,EXPECTED_LIFE(YR),IN_SERVICE_DATE,MAINTENENACE_LOCATION_NAME,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,FUEL_DESC,AVAILABLE HOURS (Hrs),DOWNTIME(Hrs),VEU,CATEGORY_GROUP,CATEGORY_GROUP_DESC,TECH_SPEC,TECH_SPEC_DESC,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,EXPECT_USAGE(KM),EXPECT_USAGE(Hrs),PARK_LOCATION,PARK_LOCATION_NAME
ARENA BOARDS OF MGMT,376024,2005,ZAMBONI,520,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,18.44,OFF-ROAD,NATURAL GAS,, 4-Sep-08,0,0,0,0,ICEMAIN,10, 25-Feb-05,FINCH GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",005181,55 JOHN ST
ARENA BOARDS OF MGMT,376025,2005,ZAMBONI,520,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,18.44,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 25-Feb-05,EASTERN GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376035,2005,ZAMBONI,520,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,17.57,OFF-ROAD,PROPANE,,,0,0,0,0,ICEMAIN,10, 9-Jan-06,ELLESMERE GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376036,2005,ZAMBONI,520,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,17.57,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 9-Jan-06,ELLESMERE GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG05,RIDING TYPE ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376045,2009,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,14.00,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 4-Aug-09,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN09,ICE RINK RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376053,2010,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,14.39,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 14-Mar-09,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN10,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376065,2010,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,13.53,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 20-Jan-10,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN10,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376067,2011,ZAMBONI,525,ISZGZTUZZZ,ICE-RESURF 61-70HP 10Y UNLEAD,11.85,OFF-ROAD,UNLEADED,,,0,0,0,0,ICEMAIN,10, 27-Sep-11,EASTERN GARAGE,Active Unit,,ARENA,ARENA,,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBUN11,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376081,2012,ZAMBONI,525,ISZGZTCZZZ,ICE-RESURF 61-70HP 10Y CNG,10.58,OFF-ROAD,NATURAL GAS,,,0,0,0,0,ICEMAIN,10, 2-Jan-13,EASTERN GARAGE,Active Unit,,ARENA,ARENA,NATURAL GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBNG12A,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
ARENA BOARDS OF MGMT,376084,2013,ZAMBONI,525,ISZGZTLZZZ,ICE-RESURF 61-70HP 10Y LPG,9.61,OFF-ROAD,PROPANE,, 14-Jan-14,0,0,0,0,ICEMAIN,10, 23-Dec-13,EASTERN GARAGE,Active Unit,,ARENA,ARENA,PROPANE GAS,"1,160.00",,3.00,ICE-RESURF,ICE-MAIN-RESURFACER,376ZAMBPR13,1000 L CAPACITY RIDE-ON ICE RESURFACER,STANDARD,NONMETER,0,"4,900",,
